game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__leader,error_rate__member_1,error_rate__member_2,error_rate__member_3,adoption__member_1,adoption__member_2,adoption__member_3,error_rate__baseline-1,error_rate__baseline-2,error_rate__baseline-3
FE11,fe,flat_ensemble,3,59,290,4.915254237288136,31302.745762711864,47.12020338983051,0.2033898305084746,,,0.9830508474576272,0.36363636363636365,,0.0,1.1864406779661016,0.8983050847457626,0.0,0.0,0.0,0.0,0.864406779661017,0.9152542372881356,0.9152542372881356,,,
FE11,baseline-3,llm_baseline,4,59,59,1.0,7263.983050847458,20.055389830508474,,,,,,,0.0,,,,,,,,,,,,0.0
FE12,baseline-1,llm_baseline,1,100,120,1.2,9369.28,30.376379999999997,,,,,,,0.0,,,,,,,,,,0.16666666666666666,,
FE12,baseline-2,llm_baseline,2,66,77,1.1666666666666667,7941.621212121212,18.764469696969694,,,,,,,0.0,,,,,,,,,,,0.14285714285714285,
FE12,fe,flat_ensemble,3,58,304,5.241379310344827,33400.53448275862,45.89489655172414,0.08620689655172414,,,0.9818181818181818,0.6,,0.0,1.0862068965517242,0.9333333333333332,0.0,0.0,0.0,0.0,0.9636363636363636,0.9090909090909091,0.9272727272727272,,,
FE12,baseline-3,llm_baseline,4,56,62,1.1071428571428572,7417.857142857143,17.483875,,,,,,,0.0,,,,,,,,,,,,0.0967741935483871
FE13,baseline-1,llm_baseline,1,65,71,1.0923076923076922,6186.8,2.9968615384615385,,,,,,,0.0,,,,,,,,,,0.08450704225352113,,
FE13,baseline-2,llm_baseline,2,51,57,1.1176470588235294,6415.921568627451,3.4817843137254902,,,,,,,0.0196078431372549,,,,,,,,,,,0.12280701754385964,
FE13,baseline-3,llm_baseline,3,67,78,1.164179104477612,6643.910447761194,2.925179104477612,,,,,,,0.0,,,,,,,,,,,,0.14102564102564102
FE13,fe,flat_ensemble,4,69,360,5.217391304347826,33934.14492753623,58.77250724637681,0.3333333333333333,,,0.8695652173913043,0.42857142857142855,,0.0,1.4057971014492754,0.7510274713389574,0.0,0.0,0.0,0.0,0.7246376811594203,0.7313432835820896,0.7971014492753623,,,
FE14,baseline-1,llm_baseline,1,63,63,1.0,7674.873015873016,20.655730158730158,,,,,,,0.0,,,,,,,,,,0.0,,
FE14,baseline-2,llm_baseline,2,75,75,1.0,7747.373333333333,23.069146666666665,,,,,,,0.0,,,,,,,,,,,0.0,
FE14,baseline-3,llm_baseline,3,69,69,1.0,8111.188405797101,29.890637681159422,,,,,,,0.0,,,,,,,,,,,,0.0
FE14,fe,flat_ensemble,4,66,357,5.409090909090909,37835.09090909091,85.15168181818183,0.6818181818181818,,,0.8939393939393939,0.4827586206896552,,0.0,1.8636363636363635,0.5803345959595959,0.0,0.0,0.0,0.011627906976744186,0.453125,0.5606060606060606,0.7272727272727273,,,
FE15,baseline-1,llm_baseline,1,63,69,1.0952380952380953,7305.349206349207,16.380365079365077,,,,,,,0.015873015873015872,,,,,,,,,,0.10144927536231885,,
FE15,baseline-2,llm_baseline,2,70,72,1.0285714285714285,7140.7,17.894314285714287,,,,,,,0.0,,,,,,,,,,,0.027777777777777776,
FE15,baseline-3,llm_baseline,3,78,98,1.2564102564102564,9130.935897435897,25.384564102564102,,,,,,,0.01282051282051282,,,,,,,,,,,,0.21428571428571427
FE15,fe,flat_ensemble,4,63,310,4.920634920634921,32652.126984126986,60.9812380952381,0.2698412698412698,,,0.8064516129032258,0.3076923076923077,,0.0,1.3015873015873016,0.7043010752688171,0.0,0.025974025974025976,0.0,0.0,0.7258064516129032,0.7096774193548387,0.6774193548387096,,,
FE16,baseline-1,llm_baseline,1,63,105,1.6666666666666667,9878.825396825398,3.8855873015873015,,,,,,,0.0,,,,,,,,,,0.4,,
FE16,baseline-2,llm_baseline,2,60,98,1.6333333333333333,9686.0,4.286266666666666,,,,,,,0.0,,,,,,,,,,,0.3877551020408163,
FE16,baseline-3,llm_baseline,3,67,113,1.6865671641791045,10000.492537313432,4.742417910447761,,,,,,,0.0,,,,,,,,,,,,0.40707964601769914
FE16,fe,flat_ensemble,4,59,301,5.101694915254237,32510.57627118644,46.89750847457627,0.15254237288135594,,,0.9322033898305084,0.42857142857142855,,0.0,1.152542372881356,0.8626226583407671,0.0,0.0,0.0,0.0,0.8813559322033898,0.864406779661017,0.8421052631578947,,,
