experiment,game_id,entity,controller_type,seat,decisions,llm_calls,p008_calls_per_decision,p008_tokens_per_decision,p008_seconds_per_decision,p001_initial_disagreement,p002_opinion_change,p003_consensus_formation,p004_decider_adoption_any,p005_minority_adoption,p006_review_intervention,p009_fallback_rate,p010_advice_diversity,p011_officer_decider_agreement,p009_error_rate__chief_grand_secretary,p009_error_rate__emperor,p009_error_rate__grand_secretary_1,p009_error_rate__grand_secretary_2,p004_adoption__chief_grand_secretary,p004_adoption__grand_secretary_1,p004_adoption__grand_secretary_2,p009_error_rate__baseline-1,p009_error_rate__baseline-2,p009_error_rate__baseline-3,p009_error_rate__chancellor,p009_error_rate__grand_marshal,p009_error_rate__imperial_counsellor,p004_adoption__chancellor,p004_adoption__grand_marshal,p009_error_rate__minister_1,p009_error_rate__minister_2,p009_error_rate__minister_3,p004_adoption__minister_1,p004_adoption__minister_2,p004_adoption__minister_3,p009_error_rate__menxia,p009_error_rate__shangshu,p009_error_rate__zhongshu,p004_adoption__zhongshu,p009_error_rate__leader,p009_error_rate__member_1,p009_error_rate__member_2,p009_error_rate__member_3,p004_adoption__member_1,p004_adoption__member_2,p004_adoption__member_3
court-vs-baseline,MI15,baseline-3,llm_baseline,3,60,68,1.1333333333333333,7227.116666666667,15.9352,,,,,,,0.016666666666666666,,,,,,,,,,,,0.14492753623188406,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI15,ming-court,ming_court,4,60,362,6.033333333333333,42301.21666666667,64.88204999999999,0.18333333333333332,0.37142857142857144,0.6363636363636364,1.0,0.0,,0.016666666666666666,1.0833333333333333,0.9774011299435029,0.030456852791878174,0.24358974358974358,0.07894736842105263,0.0,1.0,0.9830508474576272,0.9491525423728814,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI16,baseline-1,llm_baseline,1,68,73,1.0735294117647058,6276.455882352941,2.524911764705882,,,,,,,0.0,,,,,,,,,,0.0684931506849315,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI16,baseline-2,llm_baseline,2,57,63,1.105263157894737,6325.315789473684,2.2138947368421054,,,,,,,0.0,,,,,,,,,,,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI16,baseline-3,llm_baseline,3,59,65,1.1016949152542372,6343.016949152542,2.1194745762711866,,,,,,,0.0,,,,,,,,,,,,0.09230769230769231,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI16,ming-court,ming_court,4,59,342,5.796610169491525,41940.47457627119,75.37933898305086,0.11864406779661017,0.2962962962962963,0.5714285714285714,0.9491525423728814,0.6666666666666666,,0.0,1.0508474576271187,0.9193906376109767,0.0,0.016666666666666666,0.2727272727272727,0.014705882352941176,0.9152542372881356,0.9107142857142857,0.9322033898305084,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI01,qin-court,qin_court,1,79,327,4.139240506329114,31252.07594936709,48.75572151898734,0.2631578947368421,,,0.8987341772151899,,,0.0,1.263157894736842,0.8010493004663557,,0.024691358024691357,,,,,,,,,0.0125,0.09195402298850575,0.0,0.8552631578947368,0.7468354430379747,,,,,,,,,,,,,,,,,
court-vs-baseline,QI01,baseline-1,llm_baseline,2,79,87,1.1012658227848102,8252.506329113925,23.559911392405063,,,,,,,0.0,,,,,,,,,,0.09195402298850575,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI01,baseline-2,llm_baseline,3,56,65,1.1607142857142858,7804.607142857143,16.18642857142857,,,,,,,0.0,,,,,,,,,,,0.13846153846153847,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI01,baseline-3,llm_baseline,4,70,78,1.1142857142857143,7627.871428571429,17.81488571428571,,,,,,,0.0,,,,,,,,,,,,0.10256410256410256,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI02,baseline-1,llm_baseline,1,77,115,1.4935064935064934,9219.181818181818,5.3214675324675325,,,,,,,0.0,,,,,,,,,,0.33043478260869563,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI02,qin-court,qin_court,2,70,286,4.085714285714285,29222.2,41.84182857142857,0.15625,,,0.9428571428571428,,,0.0,1.15625,0.8816964285714286,,0.027777777777777776,,,,,,,,,0.0410958904109589,0.014084507042253521,0.0,0.8571428571428571,0.90625,,,,,,,,,,,,,,,,,
court-vs-baseline,QI02,baseline-2,llm_baseline,3,59,101,1.7118644067796611,10286.728813559323,4.4116949152542375,,,,,,,0.0,,,,,,,,,,,0.4158415841584158,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI02,baseline-3,llm_baseline,4,64,99,1.546875,9302.859375,4.450890625,,,,,,,0.0,,,,,,,,,,,,0.35353535353535354,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI03,baseline-1,llm_baseline,1,79,89,1.1265822784810127,6607.265822784811,2.9145822784810127,,,,,,,0.0,,,,,,,,,,0.11235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI03,baseline-2,llm_baseline,2,67,70,1.044776119402985,6044.3432835820895,2.6247462686567165,,,,,,,0.0,,,,,,,,,,,0.04285714285714286,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI03,qin-court,qin_court,3,60,258,4.3,28694.6,40.06705,0.2033898305084746,,,0.9666666666666667,,,0.0,1.2033898305084745,0.8652542372881356,,0.01639344262295082,,,,,,,,,0.0,0.21621621621621623,0.06349206349206349,0.9,0.8305084745762712,,,,,,,,,,,,,,,,,
court-vs-baseline,QI03,baseline-3,llm_baseline,4,55,69,1.2545454545454546,7249.418181818181,3.221436363636364,,,,,,,0.0,,,,,,,,,,,,0.2028985507246377,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI04,baseline-1,llm_baseline,1,72,72,1.0,7793.361111111111,22.181013888888888,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI04,baseline-2,llm_baseline,2,57,57,1.0,7352.543859649123,17.160719298245613,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI04,baseline-3,llm_baseline,3,58,58,1.0,7663.741379310345,20.615413793103446,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI04,qin-court,qin_court,4,93,391,4.204301075268817,32201.88172043011,64.53732258064515,0.4946236559139785,,,0.9354838709677419,,,0.0,1.5053763440860215,0.6989247311827957,,0.010638297872340425,,,,,,,,,0.17272727272727273,0.0,0.010638297872340425,0.7526881720430108,0.6451612903225806,,,,,,,,,,,,,,,,,
court-vs-baseline,QI05,qin-court,qin_court,1,62,271,4.370967741935484,30003.774193548386,45.01925806451613,0.20967741935483872,,,0.9838709677419355,,,0.0,1.2096774193548387,0.8870967741935484,,0.0,,,,,,,,,0.18421052631578946,0.11428571428571428,0.015873015873015872,0.9032258064516129,0.8709677419354839,,,,,,,,,,,,,,,,,
court-vs-baseline,QI05,baseline-1,llm_baseline,2,56,56,1.0,7275.357142857143,16.763732142857144,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI05,baseline-2,llm_baseline,3,56,56,1.0,7379.678571428572,17.82967857142857,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI05,baseline-3,llm_baseline,4,103,109,1.058252427184466,9079.097087378641,33.16190291262136,,,,,,,0.0,,,,,,,,,,,,0.05504587155963303,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI06,qin-court,qin_court,1,69,284,4.115942028985507,29467.202898550724,43.52227536231884,0.2898550724637681,,,0.9705882352941176,,,0.014492753623188406,1.289855072463768,0.8308823529411764,,0.08108108108108109,,,,,,,,,0.041666666666666664,0.0,0.0,0.7647058823529411,0.8970588235294118,,,,,,,,,,,,,,,,,
court-vs-baseline,QI06,baseline-1,llm_baseline,2,56,96,1.7142857142857142,9911.214285714286,3.7927142857142857,,,,,,,0.017857142857142856,,,,,,,,,,0.4270833333333333,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI06,baseline-2,llm_baseline,3,74,122,1.6486486486486487,9856.851351351352,4.386945945945946,,,,,,,0.013513513513513514,,,,,,,,,,,0.4065040650406504,,,,,,,,,,,,,,,,,,,,,,,
