game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__emperor,error_rate__minister_1,error_rate__minister_2,error_rate__minister_3,adoption__minister_1,adoption__minister_2,adoption__minister_3,error_rate__chancellor,error_rate__grand_marshal,error_rate__imperial_counsellor,adoption__chancellor,adoption__grand_marshal,error_rate__menxia,error_rate__shangshu,error_rate__zhongshu,adoption__zhongshu,error_rate__chief_grand_secretary,error_rate__grand_secretary_1,error_rate__grand_secretary_2,adoption__chief_grand_secretary,adoption__grand_secretary_1,adoption__grand_secretary_2
game-008,shang-court,shang2_court,2,56,235,4.196428571428571,29219.01785714286,48.98648214285714,0.23214285714285715,,,1.0,,,0.0,1.25,0.9034632034632034,0.0,0.0,0.18181818181818182,0.017543859649122806,0.9285714285714286,0.8181818181818182,0.9636363636363636,,,,,,,,,,,,,,,
game-008,qin-court,qin_court,3,63,263,4.174603174603175,29654.365079365078,32.077396825396825,0.09836065573770492,,,1.0,,,0.0,1.098360655737705,0.9523809523809523,0.08695652173913043,,,,,,,0.045454545454545456,0.03076923076923077,0.0,0.9047619047619048,1.0,,,,,,,,,,
game-008,tang-court,tang_court,4,69,293,4.246376811594203,30442.231884057972,40.9112463768116,,0.8888888888888888,1.0,0.8985507246376812,,0.03571428571428571,0.0,,0.8985507246376812,0.0,,,,,,,,,,,,0.0,0.0,0.038461538461538464,0.8985507246376812,,,,,,
game-009,tang-court,tang_court,1,62,256,4.129032258064516,29064.387096774193,37.28306451612904,,,,1.0,,0.0,0.0,,1.0,0.014285714285714285,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,
game-009,ming-court,ming_court,2,72,507,7.041666666666667,53592.84722222222,98.73376388888889,0.4722222222222222,0.4166666666666667,0.5,0.9722222222222222,0.15384615384615385,,0.0,1.3194444444444444,0.8651538862806468,0.0136986301369863,,,,,,,,,,,,,,,,0.06806282722513089,0.04504504504504504,0.21212121212121213,0.8888888888888888,0.8732394366197183,0.8333333333333334
game-009,shang-court,shang2_court,3,76,339,4.4605263157894735,33675.18421052631,64.67961842105262,0.5394736842105263,,,0.9459459459459459,,,0.0,1.7105263157894737,0.6729990860425642,0.0,0.24489795918367346,0.02564102564102564,0.12048192771084337,0.6811594202898551,0.6486486486486487,0.6891891891891891,,,,,,,,,,,,,,,
game-009,qin-court,qin_court,4,71,293,4.126760563380282,29761.0,45.48692957746479,0.3076923076923077,,,0.971830985915493,,,0.0,1.2923076923076924,0.8392199349945829,0.013888888888888888,,,,,,,0.08974358974358974,0.013888888888888888,0.0,0.8169014084507042,0.8615384615384616,,,,,,,,,,
game-010,tang-court,tang_court,1,76,312,4.105263157894737,29855.75,43.25561842105263,,1.0,1.0,0.9722222222222222,,0.03225806451612903,0.0,,0.9722222222222222,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.9722222222222222,,,,,,
game-010,ming-court,ming_court,2,69,435,6.304347826086956,46583.739130434784,83.56895652173912,0.2898550724637681,0.484375,0.4,0.9705882352941176,0.2,,0.0,1.2028985507246377,0.8944444444444445,0.13924050632911392,,,,,,,,,,,,,,,,0.0650887573964497,0.09183673469387756,0.0,0.9333333333333333,0.8529411764705882,0.8970588235294118
game-010,shang-court,shang2_court,3,89,378,4.247191011235955,31451.370786516854,61.16,0.5056179775280899,,,0.9325842696629213,,,0.0,1.5730337078651686,0.7146424112716248,0.0,0.03260869565217391,0.05319148936170213,0.03260869565217391,0.7619047619047619,0.7415730337078652,0.6404494382022472,,,,,,,,,,,,,,,
