game,seat,z_luck,z_luck_massets,n_decisions,points,rank,net_worth
sane-159,2.0,0.01733985260770976,0.004145408163265363,28.0,1.0,3.0,1686.0
sane-159,3.0,0.008053221288515378,-0.031162464985994398,17.0,0.0,4.0,1116.0
sane-159,4.0,0.09548611111111105,0.012847222222222232,12.0,3.0,1.0,4794.0
sane-160,1.0,-0.047222222222222276,0.01388888888888884,15.0,3.0,1.0,5564.0
sane-160,2.0,-0.0015417202917203388,-0.02664494851994842,37.0,0.0,4.0,576.0
sane-160,3.0,-0.08333333333333326,-0.024621212121212155,22.0,2.0,2.0,2432.0
sane-160,4.0,-0.022916666666666585,-0.019791666666666707,20.0,1.0,3.0,2032.0
sane-161,1.0,-0.026960784313725505,0.08823529411764708,17.0,3.0,1.0,4522.0
sane-161,2.0,-0.0010964912280702066,-0.01315789473684209,19.0,1.0,3.0,2166.0
sane-161,3.0,0.030015555161754026,-0.04782603956580567,27.0,2.0,2.0,3944.0
sane-161,4.0,-0.008773712737127348,-0.04847560975609749,41.0,0.0,4.0,456.0
sane-162,1.0,-0.058593750000000056,-0.06640625,16.0,1.0,3.0,2478.0
sane-162,2.0,-0.03611111111111115,-0.08814102564102566,26.0,2.0,2.0,2850.0
sane-162,3.0,-0.0631761325219743,-0.021509465855307608,17.0,3.0,1.0,4116.0
sane-162,4.0,0.08333333333333337,0.0,9.0,0.0,4.0,1482.0
sane-163,1.0,-0.013802083333333381,0.06796875000000002,16.0,2.0,2.0,3120.0
sane-163,2.0,0.060897435897436014,-0.016025641025641024,13.0,1.0,3.0,2388.0
sane-163,3.0,-0.04791666666666672,-0.033333333333333326,20.0,3.0,1.0,4383.0
sane-163,4.0,0.06793154761904763,0.00561755952380949,32.0,0.0,4.0,975.0
sane-164,1.0,-0.05495169082125606,-0.03140096618357485,23.0,1.0,3.0,1795.0
sane-164,2.0,0.05088141025641035,0.007612179487179516,8.0,3.0,1.0,7014.0
sane-164,3.0,0.03245614035087718,0.010526315789473606,19.0,2.0,2.0,3067.0
sane-164,4.0,0.031481481481481444,-0.03750000000000003,36.0,0.0,4.0,871.0
sane-165,1.0,0.01692708333333337,0.06553819444444442,16.0,0.0,4.0,2944.0
sane-165,2.0,-0.02777777777777779,0.03703703703703698,9.0,3.0,1.0,3782.0
sane-165,3.0,0.05642361111111116,0.08130787037037035,24.0,1.0,3.0,3397.0
sane-165,4.0,0.056594167481264335,0.00845144998370806,22.0,2.0,2.0,3762.0
sane-166,1.0,0.11742424242424232,-0.1098484848484848,11.0,3.0,1.0,3983.0
sane-166,2.0,-0.02096478174603178,0.007011408730158708,20.0,1.0,3.0,2215.0
sane-166,3.0,0.04960317460317465,-0.009661835748792258,23.0,2.0,2.0,2530.0
sane-166,4.0,0.03318903318903321,0.04707792207792205,21.0,0.0,4.0,1533.0
sane-167,1.0,-0.0735294117647059,-0.03431372549019612,17.0,1.0,3.0,2713.0
sane-167,2.0,-0.04609674329501917,0.03125,18.0,3.0,1.0,5093.0
sane-167,3.0,-0.05555555555555558,-0.06481481481481483,18.0,0.0,4.0,2018.0
sane-167,4.0,0.027564102564102577,-0.08461538461538459,13.0,2.0,2.0,3325.0
sane-168,1.0,0.02020202020202011,0.003409090909090806,33.0,0.0,4.0,2402.0
sane-168,2.0,-0.02084623323013418,-0.050567595459236336,19.0,2.0,2.0,2655.0
sane-168,3.0,-0.00404456654456653,0.031746031746031744,26.0,1.0,3.0,2446.0
