experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,4.0,-12.676737675018087,98.37859785032994,59.0,86
sane_random,sane_random,1.0,43.61931855962107,31.91665828021493,57.0,87
sane_random,sane_random,2.0,34.647834437870074,52.97301274784848,60.0,87
sane_random,sane_random,3.0,66.05413073351468,181.19529405421028,58.0,87
sane_random,sane_random,4.0,26.681664952602247,78.99483115430843,62.0,87
sane_random,sane_random,1.0,29.398889615772358,51.88138591131035,59.0,88
sane_random,sane_random,2.0,95.46906542017636,53.44344596056025,57.0,88
sane_random,sane_random,3.0,95.27739786328662,68.31770216397409,67.0,88
sane_random,sane_random,4.0,23.712122730356036,82.27045064335096,61.0,88
sane_random,sane_random,1.0,30.024676685389828,47.87456680445498,60.0,89
sane_random,sane_random,2.0,31.23096107287924,78.283058545106,67.0,89
sane_random,sane_random,3.0,78.19391297794482,43.8408210609315,64.0,89
sane_random,sane_random,4.0,26.993067062094077,51.778411468135886,76.0,89
sane_random,sane_random,1.0,19.355040960046846,48.565727502566745,79.0,90
sane_random,sane_random,2.0,47.21986455119707,80.3664482311952,55.0,90
sane_random,sane_random,3.0,125.70224867520378,56.0346206499403,56.0,90
sane_random,sane_random,4.0,-10.638293827847288,50.93963177117115,63.0,90
sane_random,sane_random,1.0,54.0216563362836,40.35084022392435,57.0,91
sane_random,sane_random,2.0,125.26296097239792,97.50835242746322,58.0,91
sane_random,sane_random,3.0,44.176579106000254,15.65265201104893,54.0,91
sane_random,sane_random,4.0,4.04887918400125,132.54807650552607,58.0,91
sane_random,sane_random,1.0,35.780611725052424,85.90318560721437,66.0,92
sane_random,sane_random,2.0,80.5094209931123,53.39883715756395,59.0,92
sane_random,sane_random,3.0,139.56971785710462,140.4123546807753,59.0,92
sane_random,sane_random,4.0,60.90228309754705,132.4779097870738,62.0,92
sane_random,sane_random,1.0,38.36670121567889,18.54256306780029,57.0,93
sane_random,sane_random,2.0,78.42153411046971,67.34827540512651,58.0,93
sane_random,sane_random,3.0,93.19036955717617,6.270330463287533,51.0,93
sane_random,sane_random,4.0,31.69414492958829,56.292028626342955,61.0,93
sane_random,sane_random,1.0,35.940030990549104,21.554466915317064,60.0,94
sane_random,sane_random,2.0,119.36960405616688,122.34959825996626,64.0,94
sane_random,sane_random,3.0,59.554227731964325,92.20793911624875,66.0,94
sane_random,sane_random,4.0,51.61885744688313,145.50827293121097,59.0,94
sane_random,sane_random,1.0,100.0010083973775,62.75429900827527,56.0,95
sane_random,sane_random,2.0,27.425993966282167,47.32417349617322,59.0,95
sane_random,sane_random,3.0,34.95983689051086,21.959616282986325,55.0,95
