game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,emperor_adoption,minority_adoption,review_intervention,fallback_rate,error_rate,advice_diversity,officer_decider_agreement
game-013,shang-court,shang2_court,4,60,260,4.333333333333333,29338.766666666666,38.79671666666666,0.15,,,0.9830508474576272,,,0.0,0.07307692307692308,1.15,0.9318181818181818
game-014,qin-court,qin_court,1,62,261,4.209677419354839,29538.112903225807,56.43385483870968,0.16129032258064516,,,1.0,,,0.0,0.04980842911877394,1.1451612903225807,0.9274193548387096
game-014,tang-court,tang_court,2,70,340,4.857142857142857,33934.15714285714,50.253142857142855,,0.391304347826087,1.0,0.8714285714285714,,0.2571428571428571,0.0,0.03823529411764706,,0.8714285714285714
game-014,ming-court,ming_court,3,74,492,6.648648648648648,49324.55405405405,106.38812162162162,0.36486486486486486,0.5333333333333333,0.37037037037037035,0.918918918918919,0.11764705882352941,,0.0,0.0636042402826855,1.2837837837837838,0.8378378378378378
game-014,shang-court,shang2_court,4,103,455,4.41747572815534,33367.71844660194,106.46027184466018,0.6504854368932039,,,0.912621359223301,,,0.009708737864077669,0.07032967032967033,1.7766990291262137,0.6449511400651465
game-015,qin-court,qin_court,1,62,254,4.096774193548387,28344.66129032258,38.40429032258064,0.16363636363636364,,,0.967741935483871,,,0.0,0.023622047244094488,1.1454545454545455,0.9145299145299145
game-015,tang-court,tang_court,2,63,253,4.015873015873016,28048.333333333332,35.7424126984127,,0.0,,0.9682539682539683,,0.0,0.0,0.003952569169960474,,0.9682539682539683
game-015,ming-court,ming_court,3,76,527,6.934210526315789,55808.32894736842,94.63884210526315,0.5263157894736842,0.40707964601769914,0.525,0.881578947368421,0.23529411764705882,,0.0,0.07969639468690702,1.2763157894736843,0.8495575221238938
game-015,shang-court,shang2_court,4,61,268,4.39344262295082,31109.868852459018,61.12126229508197,0.29508196721311475,,,0.9672131147540983,,,0.0,0.08208955223880597,1.3442622950819672,0.8595505617977528
game-016,qin-court,qin_court,1,63,258,4.095238095238095,28708.650793650795,42.31615873015873,0.22950819672131148,,,0.9523809523809523,,,0.0,0.023255813953488372,1.2295081967213115,0.8548387096774194
game-016,tang-court,tang_court,2,68,299,4.397058823529412,31737.54411764706,46.386147058823525,,1.0,0.0,0.9696969696969697,,0.06451612903225806,0.0,0.0033444816053511705,,0.9696969696969697
game-016,ming-court,ming_court,3,58,342,5.896551724137931,40780.74137931035,61.77018965517241,0.1724137931034483,0.45161290322580644,0.5,0.9454545454545454,0.2,,0.0,0.06432748538011696,1.0862068965517242,0.9294117647058824
